GEO_ID,NAME,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017
id,Geographic Area Name,Total,Total!!Not Hispanic or Latino,Total!!Not Hispanic or Latino!!White alone,Total!!Not Hispanic or Latino!!Black or African American alone,Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Total!!Not Hispanic or Latino!!Asian alone,Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Total!!Not Hispanic or Latino!!Some Other Race alone,Total!!Not Hispanic or Latino!!Two or More Races,Total!!Hispanic or Latino,Total!!Hispanic or Latino!!White alone,Total!!Hispanic or Latino!!Black or African American alone,Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Total!!Hispanic or Latino!!Asian alone,Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Total!!Hispanic or Latino!!Some Other Race alone,Total!!Hispanic or Latino!!Two or More Races
1400000US48215021901,"Census Tract 219.01, Hidalgo County, Texas",8748,1019,997,8,0,7,0,0,7,7729,7627,3,4,1,0,77,17
1400000US48215023504,"Census Tract 235.04, Hidalgo County, Texas",8256,661,514,29,6,99,0,0,13,7595,6930,20,4,2,0,564,75
1400000US48215024108,"Census Tract 241.08, Hidalgo County, Texas",5699,192,180,3,7,1,0,0,1,5507,5389,6,7,1,0,76,28
1400000US48215024111,"Census Tract 241.11, Hidalgo County, Texas",5373,312,292,0,5,1,0,1,13,5061,4681,0,7,0,0,299,74
1400000US48215024112,"Census Tract 241.12, Hidalgo County, Texas",12663,260,232,8,4,6,0,7,3,12403,10701,71,62,4,0,1378,187
1400000US48215024201,"Census Tract 242.01, Hidalgo County, Texas",14553,168,154,1,6,3,0,0,4,14385,14052,5,27,13,0,259,29
1400000US48215024203,"Census Tract 242.03, Hidalgo County, Texas",6390,1889,1858,0,18,4,0,0,9,4501,4474,0,2,1,0,18,6
1400000US48167721800,"Census Tract 7218, Galveston County, Texas",4540,3438,3065,30,25,265,0,1,52,1102,563,4,16,1,0,484,34
1400000US48167724000,"Census Tract 7240, Galveston County, Texas",2393,1950,1384,492,14,24,1,1,34,443,281,8,2,0,0,114,38
1400000US48167724500,"Census Tract 7245, Galveston County, Texas",849,710,518,139,7,26,0,3,17,139,66,5,1,0,0,49,18
1400000US48167725300,"Census Tract 7253, Galveston County, Texas",1898,1047,796,194,6,23,0,1,27,851,451,4,16,0,0,329,51
1400000US48167725400,"Census Tract 7254, Galveston County, Texas",3906,1766,1242,419,10,49,1,2,43,2140,1254,11,32,1,0,727,115
1400000US48167725600,"Census Tract 7256, Galveston County, Texas",3097,2326,1558,490,19,213,0,1,45,771,430,18,7,1,0,276,39
1400000US48167725800,"Census Tract 7258, Galveston County, Texas",3081,1885,1341,371,10,114,3,2,44,1196,735,21,1,6,0,369,64
1400000US48187210604,"Census Tract 2106.04, Guadalupe County, Texas",7557,5485,4641,490,36,121,19,5,173,2072,1449,33,50,2,2,423,113
1400000US48187210714,"Census Tract 2107.14, Guadalupe County, Texas",6472,4516,3481,606,36,143,30,22,198,1956,1347,32,12,13,0,440,112
1400000US48187210804,"Census Tract 2108.04, Guadalupe County, Texas",4029,3123,2982,47,13,29,3,2,47,906,601,0,6,1,3,253,42
1400000US48245011203,"Census Tract 112.03, Jefferson County, Texas",174,103,19,84,0,0,0,0,0,71,57,2,1,0,0,11,0
1400000US48245011304,"Census Tract 113.04, Jefferson County, Texas",6390,5423,3689,1627,11,57,1,3,35,967,128,1,1,1,0,809,27
1400000US48253020101,"Census Tract 201.01, Jones County, Texas",2031,1650,1565,44,3,16,1,2,19,381,93,0,1,0,0,280,7
1400000US48253020102,"Census Tract 201.02, Jones County, Texas",4394,2915,1186,1705,0,12,0,10,2,1479,22,12,0,0,0,1442,3
1400000US48423000202,"Census Tract 2.02, Smith County, Texas",2167,1140,48,1085,0,0,0,1,6,1027,316,8,15,0,0,667,21
1400000US48423000400,"Census Tract 4, Smith County, Texas",2440,1394,212,1150,9,5,0,0,18,1046,430,5,8,0,0,559,44
1400000US48423000700,"Census Tract 7, Smith County, Texas",4312,3626,649,2883,4,19,0,23,48,686,299,7,5,0,0,347,28
1400000US48423000800,"Census Tract 8, Smith County, Texas",5852,3994,2540,1372,9,16,0,4,53,1858,965,19,20,1,0,801,52
1400000US48423002006,"Census Tract 20.06, Smith County, Texas",3373,3220,2894,186,12,81,0,6,41,153,96,1,2,1,0,36,17
1400000US48423002008,"Census Tract 20.08, Smith County, Texas",5377,4998,4076,549,28,219,2,9,115,379,272,1,1,2,0,76,27
1400000US48491020313,"Census Tract 203.13, Williamson County, Texas",8548,7102,6024,243,21,605,10,16,183,1446,1038,9,1,11,2,321,64
1400000US48491020320,"Census Tract 203.20, Williamson County, Texas",6638,5532,4998,235,35,112,6,7,139,1106,729,11,28,6,0,233,99
1400000US48491020324,"Census Tract 203.24, Williamson County, Texas",5840,4821,4279,200,22,176,3,17,124,1019,599,19,10,10,1,276,104
1400000US48491020326,"Census Tract 203.26, Williamson County, Texas",5948,5173,4549,147,18,328,6,5,120,775,573,13,1,4,3,118,63
1400000US48491020328,"Census Tract 203.28, Williamson County, Texas",6467,5197,4538,349,17,151,6,4,132,1270,812,21,11,7,0,333,86
1400000US48085032011,"Census Tract 320.11, Collin County, Texas",5971,5599,3010,453,18,1982,9,9,118,372,245,15,3,2,0,80,27
1400000US48113019213,"Census Tract 192.13, Dallas County, Texas",3247,1416,692,620,9,55,4,6,30,1831,744,11,46,3,0,934,93
